file	total_lines	sergey_lines	sergey_percent	note
app/backend/Dockerfile	24	7	29.17	
app/backend/api/openapi.yaml	1038	609	58.67	
app/backend/api/openapi_test.go	113	21	18.58	
app/backend/api/proto/avitosha/v1/services.proto	122	122	100.00	
app/backend/buf.gen.yaml	10	10	100.00	
app/backend/buf.yaml	15	15	100.00	
app/backend/cmd/api/main.go	34	2	5.88	
app/backend/cmd/auth/main.go	29	29	100.00	
app/backend/cmd/game/main.go	29	29	100.00	
app/backend/go.mod	37	9	24.32	
app/backend/go.sum	108	40	37.04	
app/backend/internal/ai/proxyapi.go	149	149	100.00	
app/backend/internal/ai/proxyapi_test.go	65	65	100.00	
app/backend/internal/app/app.go	191	27	14.14	
app/backend/internal/app/game_wiring_test.go	22	22	100.00	
app/backend/internal/app/microservices.go	254	254	100.00	
app/backend/internal/client/grpc/authclient/client.go	113	113	100.00	
app/backend/internal/client/grpc/gameclient/client.go	158	158	100.00	
app/backend/internal/config/config.go	288	130	45.14	
app/backend/internal/config/config_test.go	287	71	24.74	
app/backend/internal/gen/avitosha/v1/services.pb.go	1731	1731	100.00	generated-code
app/backend/internal/gen/avitosha/v1/services_grpc.pb.go	913	913	100.00	generated-code
app/backend/internal/handler/game.go	355	341	96.06	
app/backend/internal/handler/game_dto.go	504	353	70.04	
app/backend/internal/handler/game_dto_benchmark_test.go	57	57	100.00	
app/backend/internal/handler/game_dto_test.go	68	68	100.00	
app/backend/internal/handler/game_identity.go	70	54	77.14	
app/backend/internal/handler/game_test.go	562	487	86.65	
app/backend/internal/handler/game_ws.go	129	129	100.00	
app/backend/internal/handler/game_ws_test.go	98	98	100.00	
app/backend/internal/handler/middleware.go	191	11	5.76	
app/backend/internal/handler/router.go	108	21	19.44	
app/backend/internal/model/domain_event.go	38	34	89.47	
app/backend/internal/model/game.go	265	235	88.68	
app/backend/internal/model/pet.go	41	24	58.54	
app/backend/internal/realtime/hub.go	102	102	100.00	
app/backend/internal/realtime/hub_test.go	72	72	100.00	
app/backend/internal/repository/postgres/game_actions.go	106	106	100.00	
app/backend/internal/repository/postgres/game_progress.go	309	309	100.00	
app/backend/internal/repository/postgres/game_repository.go	195	195	100.00	
app/backend/internal/repository/postgres/game_repository_test.go	345	307	88.99	
app/backend/internal/repository/postgres/game_rewards.go	149	142	95.30	
app/backend/internal/repository/postgres/game_tasks.go	229	229	100.00	
app/backend/internal/rpc/errors.go	95	95	100.00	
app/backend/internal/transport/grpc/authserver/server.go	127	127	100.00	
app/backend/internal/transport/grpc/gameserver/server.go	232	232	100.00	
app/backend/internal/usecase/game_advice.go	112	112	100.00	
app/backend/internal/usecase/game_contracts.go	90	79	87.78	
app/backend/internal/usecase/game_errors.go	19	18	94.74	
app/backend/internal/usecase/game_rules.go	197	197	100.00	
app/backend/internal/usecase/game_rules_test.go	80	80	100.00	
app/backend/internal/usecase/game_service.go	745	717	96.24	
app/backend/internal/usecase/game_service_test.go	838	670	79.95	
app/backend/internal/usecase/pet_name.go	74	74	100.00	
app/backend/internal/usecase/pet_name_test.go	45	45	100.00	
app/backend/internal/usecase/progression_rules.go	27	27	100.00	
app/backend/migrations/000004_rebuild_avitosha_game.down.sql	63	63	100.00	
app/backend/migrations/000004_rebuild_avitosha_game.up.sql	283	283	100.00	
app/backend/migrations/000005_create_reward_balances.down.sql	2	2	100.00	
app/backend/migrations/000005_create_reward_balances.up.sql	31	31	100.00	
app/backend/migrations/game_migration_test.go	46	46	100.00	
app/backend/migrations/reward_balance_migration_test.go	37	37	100.00	
app/backend/scripts/init-test-db.sh	6	6	100.00	
app/backend/scripts/smoke-game.sh	48	48	100.00	
